               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.033572,            0.030766,           0.0037689,             0.92708,             0.80476,             0.90262,             0.56901,            0.037966,            0.027056,            0.004831,            0.006931,            0.006931,            0.006931
                  64,             0.03271,            0.029269,           0.0035221,             0.92215,             0.79105,             0.90151,             0.56456,            0.038446,            0.026303,           0.0051068,           0.0068815,           0.0068815,           0.0068815
                  65,            0.031987,            0.028465,           0.0034183,             0.91985,             0.87016,             0.93187,             0.58635,            0.038197,            0.025839,           0.0049663,            0.006832,            0.006832,            0.006832
                  66,            0.032202,            0.028284,           0.0034018,              0.9189,             0.85824,             0.92809,             0.59925,            0.036311,            0.024423,           0.0049643,           0.0067825,           0.0067825,           0.0067825
                  67,            0.032534,            0.029714,           0.0034045,             0.91807,             0.86221,             0.93572,             0.57533,             0.03798,            0.025671,           0.0046542,            0.006733,            0.006733,            0.006733
                  68,            0.032988,            0.029052,           0.0036177,             0.91804,              0.7868,             0.89952,             0.56753,            0.037758,            0.028373,           0.0066942,           0.0066835,           0.0066835,           0.0066835
                  69,            0.033102,            0.030557,           0.0037568,             0.91726,             0.88612,             0.93055,             0.58873,            0.036556,            0.024579,            0.005444,            0.006634,            0.006634,            0.006634
                  70,            0.032999,            0.029146,           0.0036192,             0.93852,             0.87532,              0.9449,             0.62389,             0.03638,            0.024463,           0.0053633,           0.0065845,           0.0065845,           0.0065845
                  71,            0.032542,            0.029773,            0.003515,             0.92661,             0.86316,             0.93076,             0.59817,            0.037469,             0.02638,           0.0062361,            0.006535,            0.006535,            0.006535
                  72,            0.033217,            0.029358,           0.0039189,             0.93167,             0.89679,             0.94927,             0.60897,            0.037494,            0.024425,           0.0053382,           0.0064855,           0.0064855,           0.0064855
                  73,             0.03261,            0.028203,            0.003572,              0.9233,             0.86825,             0.94112,             0.56716,            0.038172,            0.025513,           0.0045285,            0.006436,            0.006436,            0.006436
                  74,            0.032993,            0.029903,           0.0036407,             0.92023,             0.84387,             0.93751,             0.60932,            0.036942,            0.025554,           0.0052266,           0.0063865,           0.0063865,           0.0063865
                  75,            0.033682,            0.029928,            0.004018,             0.92871,             0.83564,              0.9337,             0.59216,            0.037054,            0.025464,           0.0046402,            0.006337,            0.006337,            0.006337
                  76,            0.032368,             0.02825,           0.0032547,             0.92695,             0.84873,             0.92914,             0.58462,            0.037142,            0.026684,           0.0049415,           0.0062875,           0.0062875,           0.0062875
                  77,            0.032721,            0.030316,            0.003718,             0.92603,             0.88539,             0.94178,             0.60334,            0.036516,            0.025452,           0.0048672,            0.006238,            0.006238,            0.006238
                  78,            0.032103,            0.029127,           0.0036664,             0.94053,             0.86327,             0.94255,             0.61283,            0.035759,            0.024496,           0.0043799,           0.0061885,           0.0061885,           0.0061885
                  79,            0.032209,            0.028675,           0.0034023,             0.93896,             0.88627,             0.94044,             0.59099,            0.036757,            0.025251,           0.0050214,            0.006139,            0.006139,            0.006139
                  80,            0.032261,            0.027999,           0.0034233,             0.91824,             0.87906,             0.94531,             0.62208,            0.035789,            0.024855,           0.0047386,           0.0060895,           0.0060895,           0.0060895
                  81,            0.032853,            0.029567,           0.0034817,             0.93055,             0.88739,             0.95076,             0.61085,            0.036018,            0.024183,           0.0047465,             0.00604,             0.00604,             0.00604
                  82,            0.032477,            0.028181,           0.0035389,             0.92437,             0.87939,              0.9431,             0.60703,            0.036004,            0.024705,           0.0048082,           0.0059905,           0.0059905,           0.0059905
                  83,            0.032182,            0.027982,           0.0038002,             0.94508,             0.83161,             0.92297,             0.60086,            0.036709,            0.025376,           0.0048623,            0.005941,            0.005941,            0.005941
                  84,            0.031796,            0.029433,           0.0035609,             0.95089,             0.89007,             0.95725,             0.62907,            0.034868,            0.023613,           0.0044648,           0.0058915,           0.0058915,           0.0058915
                  85,            0.031611,            0.028769,           0.0032371,             0.92854,             0.87688,             0.94622,             0.62485,            0.035644,            0.023935,           0.0046108,            0.005842,            0.005842,            0.005842
                  86,              0.0314,            0.028039,           0.0033209,             0.91951,             0.85497,              0.9395,             0.60617,            0.036065,            0.024852,           0.0046911,           0.0057925,           0.0057925,           0.0057925
                  87,            0.031815,            0.028527,           0.0032246,             0.92862,             0.82484,             0.90147,             0.58535,            0.036896,            0.027499,           0.0082092,            0.005743,            0.005743,            0.005743
                  88,            0.032293,            0.028651,           0.0035741,             0.93498,             0.86515,             0.94481,             0.61684,            0.035813,            0.024528,           0.0048283,           0.0056935,           0.0056935,           0.0056935
                  89,            0.032645,            0.027774,           0.0036119,             0.92154,             0.87994,             0.94276,             0.62682,            0.035576,             0.02436,           0.0050309,            0.005644,            0.005644,            0.005644
                  90,            0.032025,            0.028492,           0.0034102,             0.94279,             0.88722,             0.95153,             0.63006,             0.03549,            0.024139,           0.0042441,           0.0055945,           0.0055945,           0.0055945
                  91,            0.031731,            0.028355,           0.0037294,             0.94134,             0.88622,             0.94819,             0.61557,            0.035896,             0.02418,           0.0044612,            0.005545,            0.005545,            0.005545
                  92,            0.032641,            0.028407,           0.0037527,             0.94849,             0.87305,             0.94596,             0.62798,            0.035561,             0.02399,           0.0048429,           0.0054955,           0.0054955,           0.0054955
                  93,            0.030939,            0.027477,            0.002901,             0.93094,             0.86365,             0.94575,             0.59776,            0.037609,            0.024485,           0.0048705,            0.005446,            0.005446,            0.005446
                  94,             0.03182,            0.028214,            0.003471,             0.92591,             0.85089,             0.92983,             0.59252,            0.037048,            0.026949,           0.0046969,           0.0053965,           0.0053965,           0.0053965
                  95,            0.031697,            0.029791,           0.0033393,             0.93554,             0.88328,             0.94506,             0.61118,            0.036393,            0.024374,           0.0043523,            0.005347,            0.005347,            0.005347
                  96,            0.031878,            0.027591,           0.0031882,             0.93073,              0.9017,             0.95542,             0.62779,             0.03485,            0.023857,           0.0042448,           0.0052975,           0.0052975,           0.0052975
                  97,            0.032227,             0.02897,           0.0033995,             0.95406,             0.89278,             0.95426,             0.62145,            0.035977,            0.024478,           0.0043141,            0.005248,            0.005248,            0.005248
                  98,            0.031514,            0.030028,           0.0036345,             0.94906,             0.86176,             0.94418,             0.62548,            0.035605,            0.024837,           0.0049868,           0.0051985,           0.0051985,           0.0051985
                  99,            0.031586,            0.028344,           0.0034634,             0.94474,             0.85046,             0.93975,             0.61702,            0.035662,            0.024147,           0.0047968,            0.005149,            0.005149,            0.005149
                 100,            0.030986,            0.027833,           0.0033141,             0.94323,              0.8753,             0.94185,             0.62648,            0.035872,            0.025863,           0.0047916,           0.0050995,           0.0050995,           0.0050995
                 101,            0.031709,            0.029541,            0.003347,             0.93301,             0.86466,             0.93812,             0.62653,            0.035067,            0.024748,           0.0047863,             0.00505,             0.00505,             0.00505
                 102,             0.03147,            0.027711,           0.0033521,             0.93128,             0.90347,             0.95291,             0.64006,            0.034055,            0.023865,           0.0042797,           0.0050005,           0.0050005,           0.0050005
                 103,            0.030849,            0.027112,             0.00338,             0.92825,             0.88267,             0.94283,             0.63423,            0.035312,            0.024173,           0.0049459,            0.004951,            0.004951,            0.004951
                 104,            0.030845,            0.029387,           0.0034314,              0.9433,             0.88865,             0.94496,              0.6294,            0.035006,            0.023832,           0.0052153,           0.0049015,           0.0049015,           0.0049015
                 105,             0.03128,            0.028282,           0.0031277,             0.95001,             0.87289,             0.95126,             0.61514,            0.034996,            0.023426,           0.0051185,            0.004852,            0.004852,            0.004852
                 106,             0.03117,            0.028402,           0.0032377,              0.9374,             0.89179,             0.95106,             0.63009,            0.035125,            0.023531,           0.0047115,           0.0048025,           0.0048025,           0.0048025
                 107,            0.031891,            0.028603,           0.0033363,             0.94733,             0.89127,             0.95437,             0.62404,            0.036076,            0.024124,           0.0048245,            0.004753,            0.004753,            0.004753
                 108,            0.031204,            0.027731,           0.0028449,             0.93141,              0.8868,             0.94828,             0.61936,            0.035417,            0.024178,           0.0045597,           0.0047035,           0.0047035,           0.0047035
                 109,            0.031699,            0.027835,           0.0032993,             0.95317,             0.89855,             0.95987,             0.63293,            0.034828,            0.023318,           0.0040203,            0.004654,            0.004654,            0.004654
                 110,            0.031079,             0.02769,           0.0036578,              0.9555,             0.87577,             0.94625,             0.62821,            0.035357,            0.024253,           0.0042357,           0.0046045,           0.0046045,           0.0046045
                 111,            0.032052,            0.027589,           0.0033751,              0.9272,              0.8854,             0.94657,             0.61757,            0.035297,            0.023817,           0.0041241,            0.004555,            0.004555,            0.004555
                 112,            0.031448,            0.029443,           0.0030945,             0.93221,             0.88417,             0.95066,             0.63162,            0.034239,            0.023985,             0.00435,           0.0045055,           0.0045055,           0.0045055
                 113,            0.032333,            0.028421,            0.003256,             0.94828,             0.86909,             0.94492,             0.62642,            0.035131,            0.024392,           0.0048099,            0.004456,            0.004456,            0.004456
                 114,            0.031069,            0.027439,            0.003164,              0.9228,             0.87861,             0.94427,             0.63138,            0.034773,            0.024345,           0.0049905,           0.0044065,           0.0044065,           0.0044065
                 115,            0.030337,            0.028388,           0.0034344,             0.93443,             0.89467,             0.94682,             0.64877,            0.034498,            0.023509,           0.0050029,            0.004357,            0.004357,            0.004357
                 116,            0.030105,            0.027475,           0.0030922,             0.92739,             0.89739,             0.95154,             0.64215,            0.034426,             0.02373,           0.0044433,           0.0043075,           0.0043075,           0.0043075
                 117,            0.030263,            0.027715,           0.0029918,             0.92596,             0.88458,             0.95034,             0.63404,            0.034276,            0.023606,           0.0043877,            0.004258,            0.004258,            0.004258
                 118,            0.029816,            0.028688,           0.0032448,             0.94679,             0.89613,             0.95243,             0.64346,            0.034235,            0.023516,           0.0043486,           0.0042085,           0.0042085,           0.0042085
                 119,            0.029978,            0.028112,           0.0031935,              0.9368,             0.89787,             0.95154,             0.64993,            0.033829,            0.022948,           0.0045434,            0.004159,            0.004159,            0.004159
                 120,             0.03016,             0.02859,           0.0031075,             0.92803,             0.89247,             0.94503,             0.64325,            0.034373,            0.023972,           0.0051817,           0.0041095,           0.0041095,           0.0041095
                 121,            0.030574,            0.029112,           0.0032092,             0.93724,             0.88643,             0.94492,             0.63609,            0.035203,            0.023451,           0.0048037,             0.00406,             0.00406,             0.00406
                 122,            0.030549,             0.02799,           0.0028875,              0.9556,             0.89169,             0.95156,             0.65145,            0.033936,            0.023037,           0.0043391,           0.0040105,           0.0040105,           0.0040105
                 123,             0.03097,            0.028033,           0.0033116,             0.94453,             0.89755,             0.95502,             0.63203,            0.034156,            0.023377,           0.0043236,            0.003961,            0.003961,            0.003961
                 124,            0.031269,            0.028581,           0.0034955,             0.95478,             0.89403,             0.95347,             0.65081,            0.033795,            0.023048,           0.0042073,           0.0039115,           0.0039115,           0.0039115
                 125,            0.031096,            0.028362,            0.003299,             0.95414,             0.87855,              0.9545,             0.64241,             0.03337,             0.02304,           0.0038895,            0.003862,            0.003862,            0.003862
                 126,            0.030163,            0.026383,           0.0033788,             0.95199,             0.89062,             0.94691,             0.63833,            0.034723,            0.023356,           0.0044044,           0.0038125,           0.0038125,           0.0038125
                 127,            0.030142,             0.02687,           0.0030927,             0.94867,             0.88522,             0.94665,             0.64064,            0.034459,            0.023761,           0.0051654,            0.003763,            0.003763,            0.003763
                 128,            0.029973,            0.027498,           0.0030821,             0.93304,             0.83454,             0.90193,             0.60973,            0.041067,            0.027732,           0.0071512,           0.0037135,           0.0037135,           0.0037135
                 129,            0.029779,              0.0275,            0.002914,             0.94309,             0.90065,             0.95946,             0.63356,            0.034757,            0.024003,           0.0044339,            0.003664,            0.003664,            0.003664
                 130,            0.030063,            0.027831,           0.0030448,             0.94212,             0.89557,             0.94954,              0.6381,             0.03419,            0.023501,           0.0039458,           0.0036145,           0.0036145,           0.0036145
                 131,            0.030912,            0.028274,           0.0030832,             0.90172,             0.74136,              0.8509,             0.53324,            0.040809,            0.036106,           0.0060345,            0.003565,            0.003565,            0.003565
                 132,            0.032232,            0.028811,           0.0035587,           0.0021156,            0.028881,           0.0011342,          0.00041513,             0.13145,              1.4333,              16.332,           0.0035155,           0.0035155,           0.0035155
                 133,            0.030885,            0.028497,           0.0033296,                   0,                   0,                   0,                   0,             0.13056,             0.91958,              5.2106,            0.003466,            0.003466,            0.003466
                 134,            0.030579,            0.029608,           0.0031868,              0.7428,             0.28952,             0.33816,             0.17791,             0.10146,             0.10913,             0.45812,           0.0034165,           0.0034165,           0.0034165
                 135,            0.030503,            0.029214,           0.0030326,             0.94362,             0.88995,             0.94717,             0.62884,             0.03459,            0.023786,           0.0041594,            0.003367,            0.003367,            0.003367
                 136,            0.029782,            0.028104,           0.0031537,             0.95298,             0.88158,              0.9428,             0.64068,            0.035037,            0.023459,           0.0047552,           0.0033175,           0.0033175,           0.0033175
                 137,            0.030543,            0.026952,           0.0031422,             0.94889,             0.89269,             0.94567,             0.64881,            0.034171,            0.023553,           0.0042322,            0.003268,            0.003268,            0.003268
                 138,            0.029249,            0.026993,           0.0030553,             0.93982,             0.90487,             0.95164,             0.64429,            0.034145,            0.023425,           0.0040745,           0.0032185,           0.0032185,           0.0032185
                 139,            0.030752,            0.028589,           0.0031605,             0.94299,             0.89117,             0.95386,             0.64847,            0.033759,            0.023126,           0.0044274,            0.003169,            0.003169,            0.003169
                 140,            0.029378,            0.026928,           0.0029232,             0.95238,             0.88837,             0.94578,             0.64869,            0.033813,            0.023319,           0.0043107,           0.0031195,           0.0031195,           0.0031195
                 141,            0.029862,            0.027723,            0.002959,             0.94296,             0.86488,             0.94083,             0.62903,             0.03426,            0.024385,           0.0043064,             0.00307,             0.00307,             0.00307
                 142,            0.028677,            0.026177,           0.0028495,             0.94907,             0.90511,             0.95374,             0.66086,            0.033407,            0.023008,           0.0044169,           0.0030205,           0.0030205,           0.0030205
                 143,            0.029326,            0.027807,            0.002931,             0.94066,             0.90251,             0.95323,             0.66055,            0.033406,            0.023107,           0.0039768,            0.002971,            0.002971,            0.002971
                 144,            0.029266,            0.026795,           0.0030692,             0.94026,              0.8532,             0.94189,             0.63975,            0.033773,            0.023613,             0.00441,           0.0029215,           0.0029215,           0.0029215
                 145,            0.030009,            0.028271,           0.0031456,             0.94653,              0.8772,             0.94699,             0.63759,            0.034152,            0.023672,           0.0042505,            0.002872,            0.002872,            0.002872
                 146,            0.028899,            0.026093,           0.0028695,             0.93654,             0.91222,             0.95765,             0.64979,            0.033276,            0.022648,           0.0037504,           0.0028225,           0.0028225,           0.0028225
                 147,            0.028615,            0.025897,           0.0027891,             0.96033,             0.89789,             0.95556,             0.64537,            0.033735,            0.022924,           0.0039295,            0.002773,            0.002773,            0.002773
                 148,            0.029018,            0.026666,           0.0029054,             0.95007,             0.90734,             0.95903,             0.64452,            0.033297,            0.022709,           0.0038545,           0.0027235,           0.0027235,           0.0027235
                 149,            0.028335,             0.02658,           0.0029521,             0.94799,             0.89684,              0.9535,             0.65619,            0.033044,            0.023387,           0.0042486,            0.002674,            0.002674,            0.002674
                 150,             0.02847,            0.025872,            0.002868,             0.93757,             0.89789,             0.95611,             0.65412,            0.033061,             0.02339,           0.0038723,           0.0026245,           0.0026245,           0.0026245
                 151,            0.030149,            0.026742,           0.0029208,             0.94351,             0.90597,             0.95556,             0.65836,            0.033178,            0.022682,           0.0043395,            0.002575,            0.002575,            0.002575
                 152,            0.029554,            0.026143,           0.0031804,             0.94278,             0.91448,             0.95651,             0.65197,            0.033413,            0.022584,           0.0037772,           0.0025255,           0.0025255,           0.0025255
                 153,             0.02846,            0.027275,            0.002913,             0.95505,              0.8956,             0.95517,             0.66031,            0.032698,            0.022741,           0.0038924,            0.002476,            0.002476,            0.002476
                 154,            0.029209,            0.026501,           0.0030017,             0.95821,             0.88777,             0.95555,             0.65524,            0.033182,            0.022782,           0.0043259,           0.0024265,           0.0024265,           0.0024265
                 155,            0.029384,            0.026627,           0.0028372,             0.95628,             0.90753,             0.95829,             0.66374,            0.032627,            0.022575,           0.0038471,            0.002377,            0.002377,            0.002377
                 156,            0.028729,            0.026083,           0.0027739,             0.93983,             0.90057,             0.95736,             0.65783,            0.032993,            0.022858,           0.0040153,           0.0023275,           0.0023275,           0.0023275
                 157,            0.028484,            0.026407,           0.0026954,             0.94873,             0.90426,              0.9564,              0.6642,            0.032739,            0.022775,           0.0040932,            0.002278,            0.002278,            0.002278
